ID_file;id_tipo_de_file;id_departamento;id_mercado;ID_Vendedor;Vendedor;ID_cliente;Cliente;id_grupo;grupo_cliente;Pasajero;cantidad_de_paxs;fecha_alta;fecha_salida;fecha_regreso;ID_destino;De_nombre;ID_producto;Pro_nombre;tarifa_total_ml;venta_total_ml;iva_total_ml;facturado_ml;iva_facturado_ml;pendiente_fc_ml;costo_total_ml;renta_ml;cobrado_ml;a_cobrar_ml;ID_zona
6000;PN;TER;GEN;DZ;DAI;1146;MIN;AGT;AGENCIAS;tor;2;21/11/2024 15:45;13/2/2025 00:00;20/2/2025 00:00;BRA;BRASIL;TER;TER   .TERRESTRES;941045,63;845951,88;9902,5;845951,88;9902,5;0;798798,13;47153,75;837091,34;18763,04;BRA
6002;PN;TER;GEN;SL;SOL;946;MUI;PAR;PARTICULARES;MUI;2;21/11/2024 15:45;3/12/2024 00:00;3/12/2024 00:00;BRA;BRASIL;TER;TER   .TERRESTRES;45194,96;45194,96;1312,55;45194,96;1312,55;0;38931,95;6263,01;46507,5;0,01;BRA
6003;PN;AER;GEN;INT;A D;7506;THO;AGT;AGENCIAS;SAN;1;22/11/2024 10:47;25/11/2024 00:00;;BUEIN;BUENOS AIRES;AER;AER   .AEREOS;0;455708,18;0;455708,18;0;0;421065,5;34642,68;455708,18;0;ARGIN
6004;PN;TER;GEN;DZ;DAI;1331;TOM;PAR;PARTICULARES;;0;22/11/2024 11:15;6/2/2025 00:00;5/3/2025 00:00;ASI;ASIA;AER;AER   .AEREOS;0;1981145;0;1981145;0;0;1998595,5;-17450,5;1981145;0;SALGRU
6005;PN;AER;GEN;MS;MAR;7471;CAD;AGT;AGENCIAS;BOL;11;22/11/2024 11:43;16/2/2025 00:00;26/2/2025 00:00;PUJ;PUNTA CANA;AER;AER   .AEREOS;0;11336355,03;0;11336355,03;0;0;10479693,84;856661,19;11336355,03;0;CAR
6006;PN;AER;GEN;INT;A D;7506;THO;AGT;AGENCIAS;SUC;1;22/11/2024 12:24;21/11/2024 00:00;;BUE;BUENOS AIRES;AER;AER   .AEREOS;0;797101,99;0;797101,99;0;0;736866,9;60235,09;797101,99;0;NAC
6007;PN;AER;GEN;INT;A D;1330;AND;AGT;AGENCIAS;DEL;2;22/11/2024 12:43;13/5/2025 00:00;27/5/2025 00:00;PUJ;PUNTA CANA;AER;AER   .AEREOS;0;1921265,61;0;1921265,61;0;0;1970533,29;-49267,68;1914678,47;6587,14;CAR
6008;PN;INT;GEN;DZ;DAI;7545;KIE;AGT;AGENCIAS;Ira;1;22/11/2024 12:45;19/2/2025 00:00;24/2/2025 00:00;BRA;BRASIL;TER;TER   .TERRESTRES;454296,24;408385,79;4786,62;408385,79;4786,62;0;385630,45;22755,33;413172,4;0,01;BRA
6010;PN;TER;GEN;SL;SOL;946;MUI;PAR;PARTICULARES;;0;22/11/2024 12:51;26/11/2024 00:00;3/12/2024 00:00;CUN;CANCUN;TER;TER   .TERRESTRES;134904,43;134904,43;8724,54;134904,43;8724,54;0;94126,23;40778,2;143628,97;0;CAR
6011;PN;AER;GEN;INT;A D;882;Eli;AGT;AGENCIAS;LEC;2;22/11/2024 12:53;20/2/2025 00:00;2/3/2025 00:00;CUN;CANCUN;AER;AER   .AEREOS;0;2479833,84;0;2479833,84;0;0;2543423,52;-63589,68;2507710,76;-27876,92;CAR
